company_name,project_id,project_name,estimated_value_low,estimated_value_base,estimated_value_high,confidence_adjusted_value_low,confidence_adjusted_value_base,confidence_adjusted_value_high,value_pathway,financial_driver,metric_name,currency,revenue,ebit,ebit_margin,wacc,estimated_cost_usd,evidence_level,stage,status,country,country_iso3,intervention_type,value_to_cost_ratio_base
Adidas,WWF-NBS-018,Watershed Reforestation Program — Spain,6111648.5,11483328.75,20471432.0,2855872.94,5283673.87,9356249.151999999,revenue,carbon_value|ecosystem_service_value|premium_market_access,hectares_restored|species_richness_change|tco2e_sequestered,EUR,4813807.0,-117.0,-0.0242,12.4107,2906628,low,scaling,planned,Spain,,watershed_reforestation,1.81780188933706
Adidas,WWF-NBS-010,Riparian Greenbelt Program — Chile,3200435.72,7368980.108,13853310.78,2259042.11815,5189330.59636,9773218.3691,cost_reduction|revenue,dredging_maintenance_saved|ecosystem_service_value|water_treatment_cost_saved,hectares_restored|kg_nitrogen_reduced|sediment_tons_avoided,EUR,4813807.0,-117.0,-0.0242,12.4107,3571408,medium,pilot,active,Chile,CHL,riparian_buffer_restoration,1.4530209363813935
Adidas,WWF-NBS-002,Low-Till & Cover Crops Initiative — USA,3034028.1,6324371.35,11900663.5,2059900.4449999998,4352412.3075,8235634.845,cost_reduction|revenue,carbon_value|input_cost_saved|water_and_energy_saved,hectares_under_practice|soil_carbon_increase_tons|water_use_efficiency_gain,EUR,4813807.0,-117.0,-0.0242,12.4107,2340495,medium,proposed,active,USA,USA,regenerative_agriculture,1.859611880179193
Adidas,WWF-NBS-009,Low-Till & Cover Crops Initiative — UK,2683174.221,6149906.642,12015575.605,1756269.78723,4027695.6224599998,7869601.81615,capital_market|cost_reduction,esg_re_rating_value|input_cost_saved|water_and_energy_saved,biodiversity_index_change|hectares_under_practice|water_use_efficiency_gain,EUR,4813807.0,-117.0,-0.0242,12.4107,2568532,medium,scaling,active,UK,GBR,regenerative_agriculture,1.5680924444235071
Adidas,WWF-NBS-015,Slope Stabilization Terracing — Italy,2485244.3,5825599.74,11815805.05,1713181.2259999998,4005639.2068,8128226.791,avoided_loss|cost_reduction,dredging_maintenance_saved|flood_disruption_reduction|productivity_loss_avoided,runoff_reduction_percent|sediment_tons_avoided|soil_health_score_change,EUR,4813807.0,-117.0,-0.0242,12.4107,3645948,medium,pilot,planned,Italy,ITA,terracing_contour_farming,1.0986550567369584
Adidas,WWF-NBS-014,Low-Till & Cover Crops Initiative — USA,1702745.021,3955253.442,7752216.605,1407501.79185,3270596.4797,6411100.71925,capital_market|cost_reduction,esg_re_rating_value|input_cost_saved|water_and_energy_saved,biodiversity_index_change|hectares_under_practice|water_use_efficiency_gain,EUR,4813807.0,-117.0,-0.0242,12.4107,3511550,high,scaling,active,USA,USA,regenerative_agriculture,0.9313825745610913
Adidas,WWF-NBS-008,Terracing & Contour Farming Transition — UK,1656782.1,3817346.98,7541091.35,1351830.642,3122543.0732,6168779.309,avoided_loss|cost_reduction,dredging_maintenance_saved|flood_disruption_reduction|input_cost_saved,hectares_under_practice|runoff_reduction_percent|sediment_tons_avoided,EUR,4813807.0,-117.0,-0.0242,12.4107,2903099,high,proposed,active,UK,GBR,terracing_contour_farming,1.0755895934654658
Adidas,WWF-NBS-004,Slope Stabilization Terracing — Chile,1774917.4,4342591.32,8807510.9,1181839.064,2890832.7152,5863824.724,avoided_loss|cost_reduction,dredging_maintenance_saved|flood_disruption_reduction|productivity_loss_avoided,runoff_reduction_percent|sediment_tons_avoided|soil_health_score_change,EUR,4813807.0,-117.0,-0.0242,12.4107,990178,medium,proposed,active,Chile,CHL,terracing_contour_farming,2.9195081239938676
Adidas,WWF-NBS-017,Riparian Buffer Restoration — Chile,1227064.2305,3018352.1795,5627795.764,1000892.196015,2458484.924265,4555018.94292,capital_market|cost_reduction|revenue,ecosystem_service_value|esg_re_rating_value|water_treatment_cost_saved,habitat_index_change|hectares_restored|kg_nitrogen_reduced,EUR,4813807.0,-117.0,-0.0242,12.4107,2171404,high,proposed,active,Chile,CHL,riparian_buffer_restoration,1.1322098164436467
Adidas,WWF-NBS-019,Watershed Reforestation Program — USA,1374027.656,3514807.312,6675814.624,958870.925965,2454151.12193,4659345.24386,cost_reduction|revenue,ecosystem_service_value|premium_market_access|water_cost_saved,hectares_restored|m3_water_recharged|species_richness_change,EUR,4813807.0,-117.0,-0.0242,12.4107,1511270,medium,pilot,active,USA,USA,watershed_reforestation,1.6238998471021062
Adidas,WWF-NBS-013,Stakeholder Water Stewardship Platform — Italy,1118220.7105,2701941.421,5598324.263,783108.22121,1892291.44242,3920499.32726,avoided_loss|capital_market,community_conflict_cost_avoided|financing_benefit|reputation_financing_signal,conflict_incidents_reduced|governance_score_improvement|stakeholders_engaged,EUR,4813807.0,-117.0,-0.0242,12.4107,3782843,medium,proposed,active,Italy,ITA,watershed_governance_program,0.5002299705327448
Adidas,WWF-NBS-007,Wetland Treatment System — Spain,1400702.066,3440765.69,6465822.6850000005,636720.9704,1563090.11562,2933788.75245,capital_market|cost_reduction|revenue,ecosystem_service_value|esg_re_rating_value|water_treatment_cost_saved,biodiversity_index_change|hectares_restored|kg_nitrogen_reduced,EUR,4813807.0,-117.0,-0.0242,12.4107,828014,low,proposed,active,Spain,,constructed_wetlands,1.8877580760953319
Adidas,WWF-NBS-011,Terracing & Contour Farming Transition — Chile,1304307.4,3060713.32,6143525.9,663027.42,1555017.3560000001,3123695.97,avoided_loss|cost_reduction,dredging_maintenance_saved|flood_disruption_reduction|productivity_loss_avoided,runoff_reduction_percent|sediment_tons_avoided|soil_health_score_change,EUR,4813807.0,-117.0,-0.0242,12.4107,1173059,low,pilot,planned,Chile,CHL,terracing_contour_farming,1.325608819334748
Adidas,WWF-NBS-006,Stakeholder Water Stewardship Platform — Australia,669900.0,1817200.0,3979300.0,547884.0,1481907.0,3239208.0,avoided_loss|capital_market,community_conflict_cost_avoided|regulatory_penalty_avoided|reputation_financing_signal,compliance_rate_percent|conflict_incidents_reduced|stakeholders_engaged,EUR,4813807.0,-117.0,-0.0242,12.4107,1231126,high,pilot,planned,Australia,,watershed_governance_program,1.2037005148132685
Adidas,WWF-NBS-005,Watershed Governance & Coordination — Canada,734620.7105,1836641.421,3935124.263,586783.189715,1467556.37943,3145489.1382899997,avoided_loss|capital_market,community_conflict_cost_avoided|financing_benefit|regulatory_penalty_avoided,compliance_rate_percent|conflict_incidents_reduced|governance_score_improvement,EUR,4813807.0,-117.0,-0.0242,12.4107,2472019,high,scaling,active,Canada,CAN,watershed_governance_program,0.593667111551327
Adidas,WWF-NBS-020,Wetland Treatment System — USA,766935.531,1678135.0259999998,2951572.145,628153.61852,1368637.08216,2412627.4258,capital_market|cost_reduction,dredging_maintenance_saved|esg_re_rating_value|water_treatment_cost_saved,biodiversity_index_change|kg_nitrogen_reduced|sediment_tons_avoided,EUR,4813807.0,-117.0,-0.0242,12.4107,2754115,high,pilot,active,USA,USA,constructed_wetlands,0.49694260485128616
